datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-08-06,0.2,Couple Leisure,3.0,1.0,3.0,3.0,4.0,,1.0,3.0,restrooms were horrible,False,"  The restrooms were horrible, dirty and no paper towels, disgusting, the attendant was outside the door with her phone. Men’s restroom smelled of urine.",-1
2024-06-20,0.1,Couple Leisure,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,undersized for the traffic it has,False, This place is way undersized for the traffic it has. The restaurant selection is a joke. The main food court has been closed for months. Restrooms are dirty and small. Southwest needs to find a better Midwest hub,-1
2024-02-28,0.1,Couple Leisure,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Wasn’t even welcomed by the staff,False,  Was the worst experience of my life. Wasn’t even welcomed by the staff entering the airport plus I was trying to get all of the tags on the luggage’s and they just scolded us instead of helping us at the entrance.,-1
2024-01-15,0.1,Solo Leisure,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,“Always a nightmare”,True," Always a nightmare getting bags from baggage claim. I've never waited lass than 45 minutes for my bag, and usually it's at least an hour. Also, not enough seating. So many people have to stand or not on the ground while waiting for their plane. Absolute worst airport.",-1
2023-10-02,0.9,Solo Leisure,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,the true spirit of customer service,True,"  I recently had an unforgettable experience at the St. Louis airport that I felt compelled to share. It's not often that you encounter such exceptional customer service and genuine compassion in the service industry, but my encounter with two outstanding Huntleigh USA Corporation employees truly left me in awe. I found myself in a predicament when I was running late due to an unfortunate accident. Time was against me, and I was beginning to feel the stress and anxiety that comes with the fear of missing an important event. That's when Arlando Bolden and his colleague came to the rescue, turning my stressful situation into a heartwarming display of care and professionalism. Despite our best efforts, we arrived at our destination just a few minutes late. At this point, I had resigned myself to the possibility of missing my commitment, but Arlando and his coworker had other plans. They went above and beyond to ensure that I could still reach my destination. First and foremost, they helped me with the necessary arrangements, taking into consideration my convenience. This act of kindness was a relief in itself, but what truly touched me was their willingness to guide me personally. They recognized that my nerves were getting the better of me, and their calming presence made all the difference. Arlando Bolden deserves special recognition for his outstanding service and compassion. His dedication to his job and the well-being of customers is commendable. He was not just a helping hand but a beacon of support during a stressful moment. I am incredibly grateful to Arlando and his coworker for going the extra mile to ensure that I made it to my destination smoothly. Their actions exemplify the exceptional service that Huntleigh USA Corporation is known for, and I cannot thank them enough for their kindness. Huntleigh USA Corporation has earned my utmost respect and gratitude through this experience. They proved that they care deeply about their customers and are willing to do whatever it takes to make their journeys as pleasant as possible. I wholeheartedly recommend Huntleigh USA Corporation to anyone seeking reliable, compassionate, and customer-centric service. Thank you, Arlando Bolden, and your colleague, for restoring my faith in the kindness of strangers and for demonstrating the true spirit of customer service.",1
2023-09-22,0.1,Couple Leisure,1.0,1.0,2.0,4.0,3.0,3.0,,1.0,Security was a joke,False,"  Probably the best example of ""afraid to lay off useless people"" I've seen in any airport. The check-in line for Southwest had to be a hundred people long with what appeared to be enough employees to shorten the line considerably. But no, they just stand around talking to each other with the occasional barking of doing everything yourself. Security was a joke, nobody around to tell you what to take out and leave in the bag - until after it's gone through the X-ray machine, then they tell you and call you back. Great examples of ""not my job"".",-1
2023-06-16,0.1,Business,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,wish I could avoid this airport,False, What a horrible airport. In all of my years traveling for business I have never seen such a disorganized mess of an airport. Security line literally out the door. No one seemed to know what was going on. TSA was terrible. I wish I could avoid this airport. If it wasn’t for work I would never fly here again. Stay away.,-1
2023-05-26,0.9,Solo Leisure,5.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,one of the smoothest travel experiences,False,"  I travel frequently both internationally and domestically, and St Louis Airport provided one of the smoothest travel experiences I have had to date. Staff were efficient and seemed to actually care about their jobs, food and beverage options were plentiful, and the terminal was easy to navigate. The security process was also extremely efficient and well-staffed. The only negative thing I have to say about this airport is that the seating areas at the gates could have been cleaner, as chairs had dirt and particles of who knows what all over and in between them. However, not all of the seating was like this, and it didn't bother me as there were many cafes and bars to hang out in. Overall one of the better airports I have been through, and I have been through countless. Great job STL!",1
2022-12-24,0.1,Solo Leisure,1.0,2.0,,4.0,0.0,,,1.0,couldn’t be bothered to do his job,True,"  I have never been so angry. Because the security guard at the terminal two arrivals area couldn’t be bothered to do his job and manage traffic, people were parking and staying in spots long before their family arrived. This led to such a long line behind them that it took over an hour for my daughter to get through to pick me up. There was plenty of space at pick-up, but nobody could get through the single file line because of the idiots parking rather than driving around again. Had the guard just done his job it would have been fine.",-1
2021-12-29,0.4,Couple Leisure,3.0,2.0,5.0,5.0,2.0,2.0,1.0,,I’ve defiantly seen better,True," The C gates shops/restaurants offered very little to no vegan food options. I always eat a fruit or veggie tray when I fly but this was not available here. The bathrooms and gate area floors were dirty, anywhere that sold food had a very long line because multiple shops/stalls were closed. Headphones I was looking to purchase were marked for $149 here when on Amazon they are selling for $89. Not my worst airport experience but I’ve defiantly seen better.",-1
