datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment,AIRPORT_CODE
2024-06-15,0.2,Business,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,airport offers zero amenities,True,  This airport offers zero amenities to the traveler. Probably the most boring place I have waited for a flight. Old equipment at TSA slows progress in getting screened. Few restaurants and even fewer bars. Zero lounges and almost no place to charge a device. It's definitely a miserable enough place that I would no longer consider a trip to New Mexico if it involves this airport!,-1,ABQ
2023-10-16,0.1,Couple Leisure,5.0,3.0,1.0,5.0,0.0,,3.0,,everyone needs to charge their devices,True,   Only wall outlets and had to try 3 different ones to find one that worked. It's 2023 and everyone needs to charge their devices. First trip to Albuquerque. Attended balloon Fiesta which brings in over 200 million. Think city could put some into upgrading airport. Not happy.,-1,ABQ
2023-10-15,0.1,Business,1.0,1.0,,1.0,0.0,,,,Warning to all ADA travelers,True," Warning to all ADA travelers. I you have a wheelchair there is no transportation services offered at this airport! No shuttles, taxi, or local services but the public bus.",-1,ABQ
2022-05-07,0.2,Business,5.0,4.0,2.0,4.0,0.0,,5.0,1.0,extremely disappointed in the way they handled security,True,"  I was extremely disappointed in the way they handled security. Initially I was thrilled at the process and not separating people from their luggage like so many others. However, one of my bags got 'flagged' (ended up being for a stack of business cards) and it sat waiting to be checked for over 15 minutes. During that time I asked 4 different people about it and was brushed off with comments like 'They're sending someone over' or 'I'm sure they'll take care of it"" and they just walked off. It almost made me miss my flight and was just completely NOT okay. If they had even spoken to me and treated me like a person that mattered it would have been more palatable, but this negative experience will override any positive about this airport.",-1,ABQ
2022-04-19,0.5,Solo Leisure,5.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,"a nice concept, but one that needs some improvements",True," ABQ is a nice concept, but one that needs some improvements. For starters: If you have TSA Pre-Check here, you're golden. Security is an efficient and friendly process. If you don't have Pre-Check, then the service, at least for a small airport, can be quite non-communicative, abrasive and slow. The pueblo-inspired architecture and interior design of the airport render it one of the most beautiful small airports in the USA, and the post-security viewing area of the runway and mountains is the sort of thing that more airports in this country need. However, it's not always easy to enjoy the design and the views when the tile and carpet flooring and seating throughout the airport are dirty and, for a lack of better words, dilapidated and outdated. Speaking of seating, there really isn't enough of it, in my opinion. The signage directing you to amenities, services and locations throughout the airport is helpful, but also outdated. The dining and shopping options are fine for a small airport, so no real complaints. Some people complain about the rental car facility being separate from the terminal and requiring a shuttle bus, but, honestly, the bus runs frequently and the ride is pretty short. Everything is easily accessible from I-25 and downtown Albuquerque. With a little modernization and polishing, ABQ has the potential be as good as new again.",1,ABQ
2021-06-28,0.2,Family Leisure,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,Very frustrating,False,"  Very frustrating - today 6/27, 11.30 am, B gates going through pre-check TSA my husband was returning with our son (12) to San Diego. The lady at TSA said “our son couldn’t go through security without an ID”. Patently false - he flew RT to Texas the week prior. This is a training issue and she almost caused them to miss their flight! Please train your staff!",-1,ABQ
2021-01-07,0.2,Business,5.0,5.0,3.0,5.0,2.0,3.0,3.0,1.0,I have had horrid customer service,False,"  Avoid American Airlines at this airport. I have had horrid customer service in December 2020 and January 2021. I had a female ticketing agent charge me $170 for 1 overweight bag (54 lbs) because she claimed my husband's military orders were dated in March. Orders aren't posted the month you transfer ma'am. As a 17 year active duty wife, I may know a thing or two. Then said ""just because you are a military dependent doesn't mean you get free luggage"". I never in my life have experienced such horrid disrespect. On top of it I am a COVID crisis relief RN. I was blown away and have since vowed to never fly American again.",-1,ABQ
2019-05-24,0.3,Solo Leisure,1.0,4.0,3.0,5.0,2.0,4.0,,1.0,lines were so incredibly long,False," This airport can’t seem to handle the passenger traffic. I was flying American on May 21, my flight was delayed to the point that I wouldn’t make my transfer. I was bumped to the next day and the check-in lines were so incredibly long that I missed my flight the next morning and was forced to fly standby. I have heard similar things from friends flying Southwest Airlines at this airport",-1,ABQ
2018-03-01,0.2,Family Leisure,4.0,4.0,4.0,4.0,0.0,,,1.0,TSA are almost always rude,False,"  
Very rude TSA, been through many time and always felt it was very quick and easier to get through other than the airport staff. Not the airline staff, they are great. But TSA are almost always rude, barely smile and speak down to people going through. Not just my family but others around us in the line, and really there is nothing you can say. It is not necessary to always look like you are in a bad mood and don't want to be at work.",-1,ABQ
2016-09-10,1.0,Family Leisure,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,convenient and reasonably priced,False,,1,ABQ
2014-05-29,0.2,,4.0,4.0,,,,3.0,,,an airport in decline,False,,-1,ABQ
2014-03-03,0.9,,4.0,5.0,,,,4.0,,,great regional airport,False,,1,ABQ
2014-01-08,0.2,,2.0,3.0,,,,3.0,,,worst airport I have visited,False,,-1,ABQ
2013-02-19,0.7,,4.0,5.0,,,,3.0,,,easy get away and arrival,False,,1,ABQ
2012-05-22,0.8,,5.0,5.0,,,,5.0,,,fast baggage claim,False,,1,ABQ
2011-11-22,0.9,,4.0,5.0,,,,4.0,,,a terrific airport,False,,1,ABQ
2010-07-19,0.4,,5.0,5.0,,,,3.0,,,distances are relatively short,False,,-1,ABQ
2009-08-09,0.3,,1.0,3.0,,,,3.0,,,Rental cars are extremely expensive,False,,-1,ABQ
2008-01-21,0.5,,,,,,,,,,a hidden gem,False,,-1,ABQ
2022-10-22,0.4,Business,1.0,3.0,2.0,3.0,0.0,,,2.0,Do not arrive too early,True,  Do not arrive too early. We arrived 3 hours before-my friend was flying on a slightly earlier flight and I was told to wait outside as my flight was slightly later. No preliminary information.so had to wait an hour. Finally allowed inside the building where there were 5 security checks - really strange as the checks involved the same things. After all that my friends plane was still on the tarmac as we took off. Airport was clean and seemed well organised once inside but being kept outside was risky.,-1,AEX
2019-06-18,0.3,Solo Leisure,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,staff members who are rude,False,,-1,AEX
2019-05-24,0.8,Couple Leisure,4.0,5.0,4.0,3.0,1.0,1.0,4.0,4.0,reasonably efficient and courteous,True," New and pleasant airport terminal. Quite spacious. Free Wi-Fi. Security was reasonably efficient and courteous. Limited food and beverage service. Quick baggage retrieval. Extremely clean toilets. Very close to city, hotels and restaurants. I would highly recommend Alexandria International (AEX) when traveling to Central or Northern Louisiana.",1,AEX
2024-04-12,0.8,Couple Leisure,5.0,4.0,3.0,5.0,2.0,1.0,,4.0,Top notch tiny regional airport,False,"   Super easy to navigate this tiny welcoming airport, parking garage fees are reasonable, car rental is close by, drop off and pickup is efficient, airport management does actually care, facilities are clean, food is sparse but there and it is secure. Top notch tiny regional airport!",1,ALB
2012-05-16,0.9,,5.0,5.0,,,,4.0,,,one of the most efficient,False,,1,ALB
2011-03-21,0.5,,5.0,5.0,,,,5.0,,,big windows everywhere,False,,-1,ALB
2009-08-09,0.5,,,,,,,,,,a relatively small airport,False,,-1,ALB
2020-04-18,0.3,Couple Leisure,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,overcrowded with unhappy and angry passengers,True," We were returning back home to Virginia via ORD and our ASE to ORD flight got cancelled. The main lobby and check-in/ticketing area of Aspen Airport does not have a vending machine for even water. TSA did not allow already checked-in passengers to go through security and wait in the gates section due to some ""safety"" issue due to overcrowding in the gates area. We had to wait five hours. Twice I went to the bathroom and through a windowed door you could see the gate area with FEW people while the front of the airport building was overcrowded with unhappy and angry passengers. I already sent my complaint to American Airlines. This issue of no water, soda or food for hours is not acceptable in todays world. For sure I have no desire to visit Aspen due to this awful airport and airline experience.",-1,ASE
