index,OP_UNIQUE_CARRIER,count,CARRIER,CARRIERNAME,matched_name,urls
15,WN,63426,WN,Southwest Airlines Co.,Southwest Airlines,https://www.airlinequality.com/airline-reviews/southwest-airlines
4,DL,43959,DL,Delta Air Lines Inc.,Delta Air Lines,https://www.airlinequality.com/airline-reviews/delta-air-lines
1,AA,41637,AA,American Airlines Inc.,American Airlines,https://www.airlinequality.com/airline-reviews/american-airlines
12,OO,34846,OO,SkyWest Airlines Inc.,SkyWest Airlines,https://www.airlinequality.com/airline-reviews/skywest-airlines
14,UA,28030,UA,United Air Lines Inc.,United Airlines,https://www.airlinequality.com/airline-reviews/united-airlines
3,B6,12805,B6,JetBlue Airways,Jetblue Airways,https://www.airlinequality.com/airline-reviews/jetblue-airways
9,MQ,10950,MQ,Envoy Air,American Eagle,https://www.airlinequality.com/airline-reviews/american-eagle
5,EV,10680,EV,ExpressJet Airlines LLC d/b/a aha!,,
2,AS,9965,AS,Alaska Airlines Inc.,Alaska Airlines,https://www.airlinequality.com/airline-reviews/alaska-airlines
17,YX,9672,YX,Republic Airline,,
10,NK,8757,NK,Spirit Air Lines,Spirit Airlines,https://www.airlinequality.com/airline-reviews/spirit-airlines
0,9E,7558,9E,Endeavor Air Inc.,Delta Air Lines,https://www.airlinequality.com/airline-reviews/delta-air-lines
11,OH,7547,OH,PSA Airlines Inc.,American Airlines,https://www.airlinequality.com/airline-reviews/skywest-airlines
6,F9,6270,F9,Frontier Airlines Inc.,Frontier Airlines,https://www.airlinequality.com/airline-reviews/frontier-airlines
16,YV,4323,YV,Mesa Airlines Inc.,United Airlines,https://www.airlinequality.com/airline-reviews/united-airlines
8,HA,3679,HA,Hawaiian Airlines Inc.,Hawaiian Airlines,https://www.airlinequality.com/airline-reviews/hawaiian-airlines
7,G4,3477,G4,Allegiant Air,Allegiant Air,https://www.airlinequality.com/airline-reviews/allegiant-air
13,QX,1000,QX,Horizon Air,Horizon Air,https://www.airlinequality.com/airline-reviews/horizon-air
