,ORIGIN,count,City: Airport,name,matched_name,urls
0,ATL,17505,"Atlanta, GA: Hartsfield-Jackson Atlanta International", Hartsfield-Jackson Atlanta International Airport,Hartsfield-Jackson Atlanta International Airport,https://www.airlinequality.com/airport-reviews/atlanta-hartsfield-airport
1,ORD,13757,"Chicago, IL: Chicago O'Hare International", Chicago O'Hare International Airport,Chicago O'Hare International Airport,https://www.airlinequality.com/airport-reviews/chicago-ohare-airport
2,DFW,13012,"Dallas/Fort Worth, TX: Dallas/Fort Worth International", Dallas/Fort Worth International Airport,Dallas/Fort Worth International Airport,https://www.airlinequality.com/airport-reviews/dallas-fort-worth-airport
3,DEN,12229,"Denver, CO: Denver International", Denver International Airport,Denver International Airport,https://www.airlinequality.com/airport-reviews/denver-airport
4,LAX,9856,"Los Angeles, CA: Los Angeles International", Los Angeles International Airport,Los Angeles International Airport,https://www.airlinequality.com/airport-reviews/los-angeles-lax-airport
5,CLT,8557,"Charlotte, NC: Charlotte Douglas International", Charlotte Douglas International Airport,Charlotte Douglas International Airport,https://www.airlinequality.com/airport-reviews/charlotte-airport
6,PHX,8064,"Phoenix, AZ: Phoenix Sky Harbor International", Phoenix Sky Harbor International Airport,Phoenix Sky Harbor International Airport,https://www.airlinequality.com/airport-reviews/phoenix-airport
7,LAS,7695,"Las Vegas, NV: McCarran International", McCarran International Airport,McCarran International Airport,https://www.airlinequality.com/airport-reviews/las-vegas-airport
8,SFO,7353,"San Francisco, CA: San Francisco International", San Francisco International Airport,San Francisco International Airport,https://www.airlinequality.com/airport-reviews/san-francisco-airport
9,SEA,7136,"Seattle, WA: Seattle/Tacoma International", Seattle/Tacoma International Airport,Seattle/Tacoma International Airport,https://www.airlinequality.com/airport-reviews/seattle-airport
10,IAH,6952,"Houston, TX: George Bush Intercontinental/Houston", George Bush Intercontinental/Houston Airport,George Bush Intercontinental Airport,https://www.airlinequality.com/airport-reviews/houston-george-bush-intercontinental-airport
11,MCO,6760,"Orlando, FL: Orlando International", Orlando International Airport,Orlando International Airport,https://www.airlinequality.com/airport-reviews/orlando-airport
12,DTW,6611,"Detroit, MI: Detroit Metro Wayne County", Detroit Metro Wayne County Airport,Detroit Metropolitan Wayne County Airport,https://www.airlinequality.com/airport-reviews/detroit-airport
13,LGA,6327,"New York, NY: LaGuardia", LaGuardia Airport,LaGuardia Airport,https://www.airlinequality.com/airport-reviews/la-guardia-airport
14,MSP,6310,"Minneapolis, MN: Minneapolis-St Paul International", Minneapolis-St Paul International Airport,Minneapolis-St Paul International Airport,https://www.airlinequality.com/airport-reviews/minneapolis-st-paul-airport
15,BOS,6141,"Boston, MA: Logan International", Logan International Airport,Logan International Airport,https://www.airlinequality.com/airport-reviews/boston-logan-airport
